cmd,p1,p2,p3
Set,floorY,1,
Set,length,420,
Set,goal,400,
Set,speed,5,
Set,tile,55b80c636aa242b6add9c1eb2808a9d1,
Spawn,orange,20,
Spawn,spore,20,
Spawn,atkbuff,35,
Spawn,aspdbuff,50,
Spawn,piercebuff,65,
Spawn,hitbuff,80,
Spawn,slowsword,95,
Spawn,dotsword,110,
Spawn,regenbuff,125,
Spawn,healbuff,140,
Spawn,maxhpbuff,155,
Spawn,shieldbuff,170,
Spawn,invincible,185,
Spawn,ultgauge,200,
Spawn,magnet,215,
Spawn,coin,225,
Spawn,coin,235,
Spawn,tobencoin,245,
Spawn,coin,255,
Spawn,coin,265,
Spawn,coin,275,
Spawn,tobencoin,285,
Spawn,coin,295,
Spawn,magnet,305,
Spawn,coin,315,
Spawn,coin,325,
Spawn,tobencoin,335,
Spawn,coin,345,
Spawn,coin,355,
Spawn,tobencoin,365,
Spawn,coin,375,
Spawn,coin,385,
